# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-100 -50 0 505c4c
-99 -50 0 505c4c
-98 -50 0 505c4c
-97 -50 0 505c4c
-100 -49 0 505c4c
-99 -49 0 505c4c
-98 -49 0 505c4c
-97 -49 0 505c4c
-100 -50 1 505c4c
-99 -50 1 505c4c
-98 -50 1 505c4c
-97 -50 1 505c4c
-100 -49 1 505c4c
-99 -49 1 505c4c
-98 -49 1 505c4c
-97 -49 1 505c4c
-96 -50 0 505c4c
-95 -50 0 505c4c
-94 -50 0 505c4c
-93 -50 0 505c4c
-92 -50 0 505c4c
-91 -50 0 505c4c
-90 -50 0 505c4c
-89 -50 0 505c4c
-88 -50 0 505c4c
-87 -50 0 505c4c
-86 -50 0 505c4c
-85 -50 0 505c4c
-84 -50 0 505c4c
-83 -50 0 505c4c
-82 -50 0 505c4c
-81 -50 0 505c4c
-96 -49 0 505c4c
-95 -49 0 505c4c
-94 -49 0 505c4c
-93 -49 0 505c4c
-92 -49 0 505c4c
-91 -49 0 505c4c
-90 -49 0 505c4c
-89 -49 0 505c4c
-88 -49 0 505c4c
-87 -49 0 505c4c
-86 -49 0 505c4c
-85 -49 0 505c4c
-84 -49 0 505c4c
-83 -49 0 444f40
-82 -49 0 444f40
-81 -49 0 505c4c
-96 -50 1 505c4c
-95 -50 1 505c4c
-94 -50 1 505c4c
-93 -50 1 505c4c
-92 -50 1 505c4c
-91 -50 1 505c4c
-90 -50 1 505c4c
-89 -50 1 505c4c
-88 -50 1 505c4c
-87 -50 1 505c4c
-86 -50 1 505c4c
-85 -50 1 505c4c
-84 -50 1 505c4c
-83 -50 1 505c4c
-82 -50 1 505c4c
-81 -50 1 505c4c
-96 -49 1 505c4c
-95 -49 1 505c4c
-94 -49 1 505c4c
-93 -49 1 505c4c
-92 -49 1 505c4c
-91 -49 1 505c4c
-90 -49 1 505c4c
-89 -49 1 505c4c
-88 -49 1 505c4c
-87 -49 1 505c4c
-86 -49 1 505c4c
-85 -49 1 505c4c
-84 -49 1 505c4c
-83 -49 1 505c4c
-82 -49 1 444f40
-81 -49 1 505c4c
-80 -50 0 505c4c
-79 -50 0 505c4c
-78 -50 0 505c4c
-77 -50 0 505c4c
-76 -50 0 505c4c
-75 -50 0 505c4c
-74 -50 0 505c4c
-73 -50 0 505c4c
-72 -50 0 505c4c
-71 -50 0 505c4c
-70 -50 0 505c4c
-69 -50 0 505c4c
-68 -50 0 505c4c
-67 -50 0 505c4c
-66 -50 0 505c4c
-65 -50 0 505c4c
-80 -49 0 505c4c
-79 -49 0 505c4c
-78 -49 0 505c4c
-77 -49 0 505c4c
-76 -49 0 505c4c
-75 -49 0 505c4c
-74 -49 0 505c4c
-73 -49 0 505c4c
-72 -49 0 505c4c
-71 -49 0 505c4c
-70 -49 0 505c4c
-69 -49 0 444f40
-68 -49 0 444f40
-67 -49 0 444f40
-66 -49 0 505c4c
-65 -49 0 505c4c
-80 -50 1 505c4c
-79 -50 1 505c4c
-78 -50 1 505c4c
-77 -50 1 505c4c
-76 -50 1 505c4c
-75 -50 1 505c4c
-74 -50 1 505c4c
-73 -50 1 505c4c
-72 -50 1 505c4c
-71 -50 1 505c4c
-70 -50 1 505c4c
-69 -50 1 505c4c
-68 -50 1 505c4c
-67 -50 1 505c4c
-66 -50 1 505c4c
-65 -50 1 505c4c
-80 -49 1 505c4c
-79 -49 1 505c4c
-78 -49 1 505c4c
-77 -49 1 505c4c
-76 -49 1 505c4c
-75 -49 1 505c4c
-74 -49 1 505c4c
-73 -49 1 505c4c
-72 -49 1 505c4c
-71 -49 1 505c4c
-70 -49 1 505c4c
-69 -49 1 505c4c
-68 -49 1 505c4c
-67 -49 1 505c4c
-66 -49 1 505c4c
-65 -49 1 505c4c
-64 -50 0 505c4c
-63 -50 0 505c4c
-62 -50 0 444f40
-61 -50 0 444f40
-60 -50 0 505c4c
-59 -50 0 505c4c
-58 -50 0 505c4c
-57 -50 0 505c4c
-56 -50 0 505c4c
-55 -50 0 505c4c
-54 -50 0 505c4c
-53 -50 0 505c4c
-52 -50 0 505c4c
-51 -50 0 505c4c
-50 -50 0 505c4c
-49 -50 0 505c4c
-64 -49 0 505c4c
-63 -49 0 505c4c
-62 -49 0 505c4c
-61 -49 0 505c4c
-60 -49 0 505c4c
-59 -49 0 505c4c
-58 -49 0 505c4c
-57 -49 0 505c4c
-56 -49 0 505c4c
-55 -49 0 505c4c
-54 -49 0 505c4c
-53 -49 0 505c4c
-52 -49 0 505c4c
-51 -49 0 505c4c
-50 -49 0 505c4c
-49 -49 0 505c4c
-64 -50 1 505c4c
-63 -50 1 505c4c
-62 -50 1 505c4c
-61 -50 1 505c4c
-60 -50 1 505c4c
-59 -50 1 505c4c
-58 -50 1 505c4c
-57 -50 1 505c4c
-56 -50 1 505c4c
-55 -50 1 505c4c
-54 -50 1 505c4c
-53 -50 1 505c4c
-52 -50 1 505c4c
-51 -50 1 505c4c
-50 -50 1 505c4c
-49 -50 1 505c4c
-64 -49 1 505c4c
-63 -49 1 505c4c
-62 -49 1 505c4c
-61 -49 1 505c4c
-60 -49 1 505c4c
-59 -49 1 505c4c
-58 -49 1 505c4c
-57 -49 1 505c4c
-56 -49 1 505c4c
-55 -49 1 505c4c
-54 -49 1 505c4c
-53 -49 1 505c4c
-52 -49 1 505c4c
-51 -49 1 505c4c
-50 -49 1 505c4c
-49 -49 1 505c4c
-54 -50 2 534d35
-53 -50 2 534d35
-52 -50 2 534d35
-51 -50 2 534d35
-50 -50 2 534d35
-56 -49 2 534d35
-55 -49 2 534d35
-54 -49 2 534d35
-53 -49 2 534d35
-52 -49 2 534d35
-51 -49 2 534d35
-50 -49 2 534d35
-49 -49 2 534d35
-54 -50 3 9b8655
-53 -50 3 9b8655
-52 -50 3 9b8655
-51 -50 3 9b8655
-50 -50 3 9b8655
-56 -49 3 9b8655
-55 -49 3 9b8655
-54 -49 3 9b8655
-53 -49 3 9b8655
-52 -49 3 9b8655
-51 -49 3 9b8655
-50 -49 3 9b8655
-49 -49 3 9b8655
-54 -50 4 9b8655
-53 -50 4 9b8655
-52 -50 4 9b8655
-51 -50 4 9b8655
-50 -50 4 9b8655
-49 -50 4 9b8655
-56 -49 4 9b8655
-55 -49 4 9b8655
-54 -49 4 9b8655
-53 -49 4 9b8655
-52 -49 4 9b8655
-51 -49 4 9b8655
-50 -49 4 877444
-49 -49 4 877444
-54 -50 5 9b8655
-53 -50 5 9b8655
-52 -50 5 9b8655
-51 -50 5 9b8655
-50 -50 5 9b8655
-49 -50 5 9b8655
-56 -49 5 9b8655
-55 -49 5 9b8655
-54 -49 5 9b8655
-53 -49 5 9b8655
-52 -49 5 9b8655
-51 -49 5 877444
-50 -49 5 877444
-49 -49 5 877444
-54 -50 6 9b8655
-53 -50 6 9b8655
-52 -50 6 9b8655
-51 -50 6 9b8655
-50 -50 6 9b8655
-56 -49 6 9b8655
-55 -49 6 9b8655
-54 -49 6 9b8655
-53 -49 6 9b8655
-52 -49 6 9b8655
-51 -49 6 877444
-50 -49 6 877444
-49 -49 6 877444
-54 -50 7 9b8655
-53 -50 7 9b8655
-52 -50 7 9b8655
-51 -50 7 9b8655
-50 -50 7 9b8655
-55 -49 7 9b8655
-54 -49 7 9b8655
-53 -49 7 9b8655
-52 -49 7 9b8655
-51 -49 7 9b8655
-50 -49 7 877444
-54 -50 8 9b8655
-50 -50 8 9b8655
-48 -50 0 505c4c
-47 -50 0 505c4c
-46 -50 0 505c4c
-45 -50 0 505c4c
-44 -50 0 505c4c
-43 -50 0 505c4c
-42 -50 0 505c4c
-41 -50 0 505c4c
-40 -50 0 505c4c
-39 -50 0 505c4c
-38 -50 0 505c4c
-37 -50 0 505c4c
-36 -50 0 505c4c
-35 -50 0 505c4c
-34 -50 0 505c4c
-33 -50 0 505c4c
-48 -49 0 505c4c
-47 -49 0 505c4c
-46 -49 0 505c4c
-45 -49 0 505c4c
-44 -49 0 505c4c
-43 -49 0 505c4c
-42 -49 0 505c4c
-41 -49 0 505c4c
-40 -49 0 505c4c
-39 -49 0 505c4c
-38 -49 0 505c4c
-37 -49 0 505c4c
-36 -49 0 505c4c
-35 -49 0 505c4c
-34 -49 0 505c4c
-33 -49 0 505c4c
-48 -50 1 505c4c
-47 -50 1 505c4c
-46 -50 1 444f40
-45 -50 1 505c4c
-44 -50 1 505c4c
-43 -50 1 505c4c
-42 -50 1 505c4c
-41 -50 1 505c4c
-40 -50 1 505c4c
-39 -50 1 505c4c
-38 -50 1 505c4c
-37 -50 1 505c4c
-36 -50 1 505c4c
-35 -50 1 505c4c
-34 -50 1 505c4c
-33 -50 1 505c4c
-48 -49 1 505c4c
-47 -49 1 505c4c
-46 -49 1 444f40
-45 -49 1 505c4c
-44 -49 1 505c4c
-43 -49 1 505c4c
-42 -49 1 505c4c
-41 -49 1 505c4c
-40 -49 1 505c4c
-39 -49 1 505c4c
-38 -49 1 505c4c
-37 -49 1 505c4c
-36 -49 1 505c4c
-35 -49 1 505c4c
-34 -49 1 505c4c
-33 -49 1 505c4c
-42 -50 2 534d35
-41 -50 2 534d35
-40 -50 2 534d35
-39 -50 2 534d35
-48 -49 2 534d35
-43 -49 2 534d35
-42 -49 2 534d35
-41 -49 2 534d35
-40 -49 2 534d35
-42 -50 3 9b8655
-41 -50 3 9b8655
-40 -50 3 9b8655
-39 -50 3 9b8655
-48 -49 3 9b8655
-47 -49 3 9b8655
-43 -49 3 9b8655
-42 -49 3 9b8655
-41 -49 3 9b8655
-40 -49 3 9b8655
-42 -50 4 9b8655
-41 -50 4 9b8655
-40 -50 4 9b8655
-39 -50 4 9b8655
-48 -49 4 9b8655
-47 -49 4 9b8655
-43 -49 4 9b8655
-42 -49 4 9b8655
-41 -49 4 9b8655
-40 -49 4 9b8655
-42 -50 5 9b8655
-41 -50 5 9b8655
-40 -50 5 9b8655
-48 -49 5 877444
-47 -49 5 9b8655
-43 -49 5 9b8655
-42 -49 5 9b8655
-40 -49 5 9b8655
-42 -50 6 9b8655
-48 -49 6 877444
-47 -49 6 9b8655
-43 -49 6 9b8655
-42 -49 6 9b8655
-32 -50 0 505c4c
-31 -50 0 505c4c
-30 -50 0 505c4c
-29 -50 0 505c4c
-28 -50 0 505c4c
-27 -50 0 505c4c
-26 -50 0 505c4c
-25 -50 0 505c4c
-24 -50 0 505c4c
-23 -50 0 444f40
-22 -50 0 505c4c
-21 -50 0 505c4c
-20 -50 0 505c4c
-19 -50 0 444f40
-18 -50 0 444f40
-17 -50 0 505c4c
-32 -49 0 505c4c
-31 -49 0 505c4c
-30 -49 0 505c4c
-29 -49 0 505c4c
-28 -49 0 505c4c
-27 -49 0 505c4c
-26 -49 0 505c4c
-25 -49 0 505c4c
-24 -49 0 505c4c
-23 -49 0 505c4c
-22 -49 0 505c4c
-21 -49 0 505c4c
-20 -49 0 505c4c
-19 -49 0 505c4c
-18 -49 0 444f40
-17 -49 0 505c4c
-32 -50 1 505c4c
-31 -50 1 505c4c
-30 -50 1 505c4c
-29 -50 1 505c4c
-28 -50 1 505c4c
-27 -50 1 505c4c
-26 -50 1 505c4c
-25 -50 1 505c4c
-24 -50 1 505c4c
-23 -50 1 505c4c
-22 -50 1 505c4c
-21 -50 1 505c4c
-20 -50 1 505c4c
-19 -50 1 505c4c
-18 -50 1 505c4c
-17 -50 1 505c4c
-32 -49 1 505c4c
-31 -49 1 505c4c
-30 -49 1 505c4c
-29 -49 1 505c4c
-28 -49 1 505c4c
-27 -49 1 505c4c
-26 -49 1 505c4c
-25 -49 1 505c4c
-24 -49 1 505c4c
-23 -49 1 505c4c
-22 -49 1 505c4c
-21 -49 1 505c4c
-20 -49 1 505c4c
-19 -49 1 505c4c
-18 -49 1 505c4c
-17 -49 1 505c4c
-16 -50 0 505c4c
-15 -50 0 505c4c
-14 -50 0 505c4c
-13 -50 0 505c4c
-12 -50 0 505c4c
-11 -50 0 444f40
-10 -50 0 505c4c
-9 -50 0 505c4c
-8 -50 0 505c4c
-7 -50 0 505c4c
