# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-74 -77 0 103c10
-73 -77 0 103c10
-72 -77 0 103c10
-71 -77 0 103c10
-70 -77 0 103c10
-69 -77 0 103c10
-68 -77 0 103c10
-67 -77 0 103c10
-66 -77 0 103c10
-65 -77 0 103c10
-74 -76 0 103c10
-73 -76 0 103c10
-72 -76 0 103c10
-71 -76 0 103c10
-70 -76 0 103c10
-69 -76 0 103c10
-68 -76 0 103c10
-67 -76 0 103c10
-66 -76 0 103c10
-65 -76 0 103c10
-74 -75 0 103c10
-73 -75 0 103c10
-72 -75 0 103c10
-71 -75 0 103c10
-70 -75 0 103c10
-69 -75 0 103c10
-68 -75 0 103c10
-67 -75 0 103c10
-66 -75 0 103c10
-65 -75 0 103c10
-74 -74 0 103c10
-73 -74 0 103c10
-72 -74 0 103c10
-71 -74 0 103c10
-70 -74 0 103c10
-69 -74 0 103c10
-68 -74 0 103c10
-67 -74 0 103c10
-66 -74 0 103c10
-65 -74 0 103c10
-74 -73 0 103c10
-73 -73 0 103c10
-72 -73 0 103c10
-71 -73 0 103c10
-70 -73 0 103c10
-69 -73 0 103c10
-68 -73 0 103c10
-67 -73 0 103c10
-66 -73 0 103c10
-65 -73 0 103c10
-74 -72 0 103c10
-73 -72 0 103c10
-72 -72 0 103c10
-71 -72 0 103c10
-70 -72 0 103c10
-69 -72 0 103c10
-68 -72 0 103c10
-67 -72 0 103c10
-66 -72 0 103c10
-65 -72 0 103c10
-74 -71 0 103c10
-73 -71 0 103c10
-72 -71 0 103c10
-71 -71 0 103c10
-70 -71 0 103c10
-69 -71 0 103c10
-68 -71 0 103c10
-67 -71 0 103c10
-66 -71 0 103c10
-65 -71 0 103c10
-74 -70 0 103c10
-73 -70 0 103c10
-72 -70 0 103c10
-71 -70 0 103c10
-70 -70 0 103c10
-69 -70 0 103c10
-68 -70 0 103c10
-67 -70 0 103c10
-66 -70 0 103c10
-65 -70 0 103c10
-74 -69 0 103c10
-73 -69 0 103c10
-72 -69 0 103c10
-71 -69 0 103c10
-70 -69 0 103c10
-69 -69 0 103c10
-68 -69 0 103c10
-67 -69 0 103c10
-66 -69 0 103c10
-65 -69 0 103c10
-74 -68 0 103c10
-73 -68 0 103c10
-72 -68 0 103c10
-71 -68 0 103c10
-70 -68 0 103c10
-69 -68 0 103c10
-68 -68 0 103c10
-67 -68 0 103c10
-66 -68 0 103c10
-65 -68 0 103c10
-74 -67 0 103c10
-73 -67 0 103c10
-72 -67 0 103c10
-71 -67 0 103c10
-70 -67 0 103c10
-69 -67 0 103c10
-68 -67 0 103c10
-67 -67 0 103c10
-66 -67 0 103c10
-65 -67 0 103c10
-74 -66 0 103c10
-73 -66 0 103c10
-72 -66 0 103c10
-71 -66 0 103c10
-70 -66 0 103c10
-69 -66 0 103c10
-68 -66 0 103c10
-67 -66 0 103c10
-66 -66 0 103c10
-65 -66 0 103c10
-74 -65 0 103c10
-73 -65 0 103c10
-72 -65 0 103c10
-71 -65 0 103c10
-70 -65 0 103c10
-69 -65 0 103c10
-68 -65 0 103c10
-67 -65 0 103c10
-66 -65 0 103c10
-65 -65 0 103c10
-74 -77 1 707175
-73 -77 1 707175
-72 -77 1 707175
-71 -77 1 707175
-70 -77 1 707175
-69 -77 1 707175
-68 -77 1 707175
-67 -77 1 707175
-66 -77 1 707175
-65 -77 1 707175
-74 -76 1 707175
-73 -76 1 707175
-72 -76 1 707175
-71 -76 1 707175
-70 -76 1 707175
-69 -76 1 707175
-68 -76 1 707175
-67 -76 1 707175
-66 -76 1 707175
-65 -76 1 707175
-74 -75 1 707175
-73 -75 1 707175
-72 -75 1 707175
-71 -75 1 707175
-70 -75 1 707175
-69 -75 1 707175
-68 -75 1 707175
-67 -75 1 707175
-66 -75 1 707175
-65 -75 1 707175
-74 -74 1 707175
-73 -74 1 707175
-72 -74 1 707175
-71 -74 1 707175
-70 -74 1 707175
-69 -74 1 707175
-68 -74 1 707175
-67 -74 1 707175
-66 -74 1 707175
-65 -74 1 707175
-74 -73 1 707175
-73 -73 1 707175
-72 -73 1 707175
-71 -73 1 707175
-70 -73 1 707175
-69 -73 1 707175
-68 -73 1 707175
-67 -73 1 707175
-66 -73 1 707175
-65 -73 1 707175
-74 -72 1 707175
-73 -72 1 707175
-72 -72 1 707175
-71 -72 1 707175
-70 -72 1 707175
-69 -72 1 707175
-68 -72 1 707175
-67 -72 1 707175
-66 -72 1 707175
-65 -72 1 707175
-74 -71 1 707175
-73 -71 1 707175
-72 -71 1 707175
-71 -71 1 707175
-70 -71 1 707175
-69 -71 1 707175
-68 -71 1 707175
-67 -71 1 707175
-66 -71 1 707175
-65 -71 1 707175
-74 -70 1 707175
-73 -70 1 707175
-72 -70 1 707175
-71 -70 1 707175
-70 -70 1 707175
-69 -70 1 707175
-68 -70 1 707175
-67 -70 1 707175
-66 -70 1 707175
-65 -70 1 707175
-74 -69 1 707175
-73 -69 1 707175
-72 -69 1 707175
-71 -69 1 707175
-70 -69 1 707175
-69 -69 1 707175
-68 -69 1 707175
-67 -69 1 707175
-66 -69 1 707175
-65 -69 1 707175
-74 -68 1 707175
-73 -68 1 707175
-72 -68 1 707175
-71 -68 1 707175
-70 -68 1 707175
-69 -68 1 707175
-68 -68 1 707175
-67 -68 1 707175
-66 -68 1 707175
-65 -68 1 707175
-74 -67 1 707175
-73 -67 1 707175
-72 -67 1 707175
-71 -67 1 707175
-70 -67 1 707175
-69 -67 1 707175
-68 -67 1 707175
-67 -67 1 707175
-66 -67 1 707175
-65 -67 1 707175
-74 -66 1 707175
-73 -66 1 707175
-72 -66 1 707175
-71 -66 1 707175
-70 -66 1 707175
-69 -66 1 707175
-68 -66 1 707175
-67 -66 1 707175
-66 -66 1 707175
-65 -66 1 707175
-74 -65 1 707175
-73 -65 1 707175
-72 -65 1 707175
-71 -65 1 707175
-70 -65 1 707175
-69 -65 1 707175
-68 -65 1 707175
-67 -65 1 707175
-66 -65 1 707175
-65 -65 1 707175
-64 -77 0 103c10
-63 -77 0 103c10
-62 -77 0 103c10
-61 -77 0 103c10
-60 -77 0 103c10
-59 -77 0 103c10
-58 -77 0 103c10
-57 -77 0 103c10
-56 -77 0 103c10
-55 -77 0 103c10
-54 -77 0 103c10
-53 -77 0 103c10
-52 -77 0 103c10
-51 -77 0 103c10
-50 -77 0 103c10
-49 -77 0 103c10
-64 -76 0 103c10
-63 -76 0 103c10
-62 -76 0 103c10
-61 -76 0 103c10
-60 -76 0 103c10
-59 -76 0 103c10
-58 -76 0 103c10
-57 -76 0 103c10
-56 -76 0 103c10
-55 -76 0 103c10
-54 -76 0 103c10
-53 -76 0 103c10
-52 -76 0 103c10
-51 -76 0 103c10
-50 -76 0 103c10
-49 -76 0 103c10
-64 -75 0 103c10
-63 -75 0 103c10
-62 -75 0 103c10
-61 -75 0 103c10
-60 -75 0 103c10
-59 -75 0 103c10
-58 -75 0 103c10
-57 -75 0 103c10
-56 -75 0 103c10
-55 -75 0 103c10
-54 -75 0 103c10
-53 -75 0 103c10
-52 -75 0 103c10
-51 -75 0 103c10
-50 -75 0 103c10
-49 -75 0 103c10
-64 -74 0 103c10
-63 -74 0 103c10
-62 -74 0 103c10
-61 -74 0 103c10
-60 -74 0 103c10
-59 -74 0 103c10
-58 -74 0 103c10
-57 -74 0 103c10
-56 -74 0 103c10
-55 -74 0 103c10
-54 -74 0 103c10
-53 -74 0 103c10
-52 -74 0 103c10
-51 -74 0 103c10
-50 -74 0 103c10
-49 -74 0 103c10
-64 -73 0 103c10
-63 -73 0 103c10
-62 -73 0 103c10
-61 -73 0 103c10
-60 -73 0 103c10
-59 -73 0 103c10
-58 -73 0 103c10
-57 -73 0 103c10
-56 -73 0 103c10
-55 -73 0 103c10
-54 -73 0 103c10
-53 -73 0 103c10
-52 -73 0 103c10
-51 -73 0 103c10
-50 -73 0 103c10
-49 -73 0 103c10
-64 -72 0 103c10
-63 -72 0 103c10
-62 -72 0 103c10
-61 -72 0 103c10
-60 -72 0 103c10
-59 -72 0 103c10
-58 -72 0 103c10
-57 -72 0 103c10
-56 -72 0 103c10
-55 -72 0 103c10
-54 -72 0 103c10
-53 -72 0 103c10
-52 -72 0 103c10
-51 -72 0 103c10
-50 -72 0 103c10
-49 -72 0 103c10
-64 -71 0 103c10
-63 -71 0 103c10
-62 -71 0 103c10
-61 -71 0 103c10
-60 -71 0 103c10
-59 -71 0 103c10
-58 -71 0 103c10
-57 -71 0 103c10
-56 -71 0 103c10
-55 -71 0 103c10
-54 -71 0 103c10
-53 -71 0 103c10
-52 -71 0 103c10
-51 -71 0 103c10
-50 -71 0 103c10
-49 -71 0 103c10
-64 -70 0 103c10
-63 -70 0 103c10
-62 -70 0 103c10
-61 -70 0 103c10
-60 -70 0 103c10
-59 -70 0 103c10
-58 -70 0 103c10
-57 -70 0 103c10
-56 -70 0 103c10
-55 -70 0 103c10
-54 -70 0 103c10
-53 -70 0 103c10
-52 -70 0 103c10
-51 -70 0 103c10
-50 -70 0 103c10
-49 -70 0 103c10
-64 -69 0 103c10
-63 -69 0 103c10
-62 -69 0 103c10
-61 -69 0 103c10
-60 -69 0 103c10
-59 -69 0 103c10
-58 -69 0 103c10
-57 -69 0 103c10
-56 -69 0 103c10
-55 -69 0 103c10
-54 -69 0 103c10
-53 -69 0 103c10
-52 -69 0 103c10
-51 -69 0 103c10
-50 -69 0 103c10
