# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
5 -17 -2 bca78c
6 -17 -2 bca78c
7 -17 -2 bca78c
8 -17 -2 bca78c
9 -17 -2 bca78c
10 -17 -2 bca78c
11 -17 -2 bca78c
12 -17 -2 bca78c
13 -17 -2 bca78c
14 -17 -2 bca78c
15 -17 -2 bca78c
5 -17 -1 bca78c
6 -17 -1 4b4b4b
7 -17 -1 4b4b4b
8 -17 -1 bca78c
9 -17 -1 bca78c
10 -17 -1 bca78c
11 -17 -1 bca78c
12 -17 -1 bca78c
13 -17 -1 bca78c
14 -17 -1 bca78c
15 -17 -1 bca78c
16 -17 -2 bca78c
17 -17 -2 bca78c
18 -17 -2 bca78c
19 -17 -2 bca78c
20 -17 -2 bca78c
21 -17 -2 bca78c
22 -17 -2 bca78c
23 -17 -2 bca78c
24 -17 -2 bca78c
25 -17 -2 bca78c
26 -17 -2 bca78c
27 -17 -2 bca78c
28 -17 -2 bca78c
29 -17 -2 bca78c
30 -17 -2 bca78c
31 -17 -2 bca78c
16 -17 -1 bca78c
17 -17 -1 bca78c
18 -17 -1 bca78c
19 -17 -1 bca78c
20 -17 -1 bca78c
21 -17 -1 bca78c
22 -17 -1 bca78c
23 -17 -1 bca78c
24 -17 -1 bca78c
25 -17 -1 bca78c
26 -17 -1 bca78c
27 -17 -1 bca78c
28 -17 -1 bca78c
29 -17 -1 bca78c
30 -17 -1 bca78c
31 -17 -1 bca78c
32 -17 -2 bca78c
33 -17 -2 bca78c
34 -17 -2 bca78c
35 -17 -2 bca78c
36 -17 -2 bca78c
37 -17 -2 bca78c
38 -17 -2 bca78c
39 -17 -2 bca78c
32 -17 -1 bca78c
33 -17 -1 bca78c
34 -17 -1 bca78c
35 -17 -1 bca78c
36 -17 -1 bca78c
37 -17 -1 4b4b4b
38 -17 -1 4b4b4b
39 -17 -1 bca78c
5 -16 -2 bca78c
6 -16 -2 bca78c
7 -16 -2 bca78c
8 -16 -2 bca78c
9 -16 -2 bca78c
10 -16 -2 bca78c
11 -16 -2 bca78c
