# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-9 -39 -1 474840
-71 -39 2 3d3c36
-65 -39 2 373d36
-72 -38 2 474840
-71 -38 2 474840
-70 -38 2 3d3c36
-69 -38 2 3d3c36
-68 -38 2 3d3c36
-67 -38 2 3d3c36
-66 -38 2 3d3c36
-70 -37 2 3d3c36
-69 -37 2 3d3c36
-68 -37 2 3d3c36
-67 -37 2 3d3c36
-73 -36 2 474840
-72 -36 2 464c45
-70 -36 2 3d3c36
-65 -36 2 3d3c36
-73 -35 2 474840
-72 -35 2 3d3c36
-71 -35 2 3d3c36
-70 -35 2 3d3c36
-68 -35 2 3d3c36
-67 -35 2 3d3c36
-66 -35 2 3d3c36
-65 -35 2 3d3c36
-73 -34 2 474840
-72 -34 2 3d3c36
-71 -34 2 3d3c36
-68 -34 2 3d3c36
-67 -34 2 3d3c36
-66 -34 2 3d3c36
-65 -34 2 3d3c36
-73 -33 2 3d3c36
-72 -33 2 3d3c36
-69 -33 2 3d3c36
-68 -33 2 3d3c36
-67 -33 2 3d3c36
-66 -33 2 3d3c36
-65 -33 2 3d3c36
-70 -39 3 474840
-69 -39 3 474840
-68 -39 3 373d36
-67 -39 3 3d3c36
-66 -39 3 373d36
-65 -39 3 373d36
-72 -38 3 474840
-71 -38 3 474840
-70 -38 3 3d3c36
-69 -38 3 3d3c36
-68 -38 3 3d3c36
-67 -38 3 3d3c36
-66 -38 3 3d3c36
-70 -37 3 3d3c36
-69 -37 3 3d3c36
-68 -37 3 3d3c36
-67 -37 3 3d3c36
-66 -37 3 3d3c36
-65 -37 3 3d3c36
-73 -36 3 373d36
-72 -36 3 464c45
-70 -36 3 3d3c36
-69 -36 3 3d3c36
-68 -36 3 3d3c36
-67 -36 3 3d3c36
-66 -36 3 3d3c36
-65 -36 3 3d3c36
-73 -35 3 474840
-72 -35 3 3d3c36
-71 -35 3 3d3c36
-70 -35 3 3d3c36
-69 -35 3 3d3c36
-68 -35 3 3d3c36
-67 -35 3 3d3c36
-66 -35 3 3d3c36
-65 -35 3 3d3c36
-73 -34 3 474840
-72 -34 3 3d3c36
-71 -34 3 3d3c36
-70 -34 3 3d3c36
-69 -34 3 3d3c36
-68 -34 3 3d3c36
-67 -34 3 3d3c36
-66 -34 3 3d3c36
-65 -34 3 3d3c36
-73 -33 3 3d3c36
-72 -33 3 3d3c36
