# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-11 -11 0 ffffff
-10 -11 0 ffffff
-9 -11 0 ffffff
-8 -11 0 ffffff
-11 -10 0 ffffff
-10 -10 0 ffffff
-9 -10 0 ffffff
-8 -10 0 ffffff
-11 -9 0 ffffff
-10 -9 0 ffffff
-9 -9 0 ffffff
-8 -9 0 ffffff
-11 -8 0 ffffff
-10 -8 0 ffffff
-9 -8 0 ffffff
-8 -8 0 ffffff
-8 -3 0 ffffff
-7 -3 0 ffffff
-6 -3 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-8 -2 0 ffffff
-7 -2 0 ffffff
-6 -2 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-8 -1 0 ffffff
-7 -1 0 ffffff
-6 -1 0 ffffff
-5 -1 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-8 -3 1 ffffff
-7 -3 1 ffffff
-6 -3 1 ffffff
-5 -3 1 ffffff
-4 -3 1 ffffff
-3 -3 1 ffffff
-2 -3 1 ffffff
-1 -3 1 ffffff
-8 -2 1 ffffff
-7 -2 1 ffffff
-6 -2 1 ffffff
-5 -2 1 ffffff
-4 -2 1 ffffff
-3 -2 1 ffffff
-2 -2 1 ffffff
-1 -2 1 ffffff
-8 -1 1 ffffff
-7 -1 1 ffffff
-6 -1 1 ffffff
-5 -1 1 ffffff
-4 -1 1 ffffff
-3 -1 1 ffffff
-2 -1 1 ffffff
-1 -1 1 ffffff
-8 -3 2 ffffff
-7 -3 2 ffffff
-6 -3 2 ffffff
-5 -3 2 ffffff
-4 -3 2 ffffff
-3 -3 2 ffffff
-2 -3 2 ffffff
-1 -3 2 ffffff
-8 -2 2 ffffff
-7 -2 2 ffffff
-6 -2 2 ffffff
-5 -2 2 ffffff
-4 -2 2 ffffff
-3 -2 2 ffffff
-2 -2 2 ffffff
-1 -2 2 ffffff
-8 -1 2 ffffff
-7 -1 2 ffffff
-6 -1 2 ffffff
-5 -1 2 ffffff
-4 -1 2 ffffff
-3 -1 2 ffffff
-2 -1 2 ffffff
-1 -1 2 ffffff
-8 -3 3 ffffff
-7 -3 3 ffffff
-6 -3 3 ffffff
-5 -3 3 ffffff
-4 -3 3 ffffff
-3 -3 3 ffffff
-2 -3 3 ffffff
-1 -3 3 ffffff
-8 -2 3 ffffff
-7 -2 3 ffffff
-6 -2 3 ffffff
-5 -2 3 ffffff
-4 -2 3 ffffff
-3 -2 3 ffffff
-2 -2 3 ffffff
-1 -2 3 ffffff
-8 -1 3 ffffff
-7 -1 3 ffffff
-6 -1 3 ffffff
-5 -1 3 ffffff
-4 -1 3 ffffff
-3 -1 3 ffffff
-2 -1 3 ffffff
-1 -1 3 ffffff
-8 -3 4 ffffff
-7 -3 4 ffffff
-6 -3 4 ffffff
-5 -3 4 ffffff
-4 -3 4 ffffff
-3 -3 4 ffffff
-2 -3 4 ffffff
-1 -3 4 ffffff
-8 -2 4 ffffff
-7 -2 4 ffffff
-6 -2 4 ffffff
-5 -2 4 ffffff
-4 -2 4 ffffff
-3 -2 4 ffffff
-2 -2 4 ffffff
-1 -2 4 ffffff
-8 -1 4 ffffff
-7 -1 4 ffffff
-6 -1 4 ffffff
-5 -1 4 ffffff
-4 -1 4 ffffff
-3 -1 4 ffffff
-2 -1 4 ffffff
-1 -1 4 ffffff
-8 -3 5 ffffff
-7 -3 5 ffffff
-6 -3 5 ffffff
-5 -3 5 ffffff
-4 -3 5 ffffff
-3 -3 5 ffffff
-2 -3 5 ffffff
-1 -3 5 ffffff
-8 -2 5 ffffff
-7 -2 5 ffffff
-6 -2 5 ffffff
-5 -2 5 ffffff
-4 -2 5 ffffff
-3 -2 5 ffffff
-2 -2 5 ffffff
-1 -2 5 ffffff
-8 -1 5 ffffff
-7 -1 5 ffffff
-6 -1 5 ffffff
-5 -1 5 ffffff
-4 -1 5 ffffff
-3 -1 5 ffffff
-2 -1 5 ffffff
-1 -1 5 ffffff
-8 -3 6 ffffff
-7 -3 6 ffffff
-6 -3 6 ffffff
-5 -3 6 ffffff
-4 -3 6 ffffff
-3 -3 6 ffffff
-2 -3 6 ffffff
-1 -3 6 ffffff
-8 -2 6 ffffff
-7 -2 6 ffffff
-6 -2 6 ffffff
-5 -2 6 ffffff
-4 -2 6 ffffff
-3 -2 6 ffffff
-2 -2 6 ffffff
